id,Count
GOLD RIVER,20
FOOTHILL RANCH,19
OXNARD,19
PETALUMA,19
ROSEMEAD,19
MONROVIA,18
REDONDO BEACH,18
SAN MARCOS,18
TARZANA,18
CANOGA PARK,17
ESCONDIDO,17
LAGUNA BEACH,17
NORWALK,17
RANCHO SANTA MARGARITA,17
SAN LUIS OBISPO,17
SANTA MARIA,17
AGOURA HILLS,16
OCEANSIDE,16
RICHMOND,16
MANHATTAN BEACH,15
MERCED,15
SAN PEDRO,15
TEMECULA,15
VACAVILLE,15
CHULA VISTA,14
HUNTINGTON PARK,14
SAN GABRIEL,14
COVINA,13
LA PALMA,13
MILLBRAE,13
NAPA,13
PALM DESERT,13
SAN JUAN CAPISTRANO,13
SAUSALITO,13
SUN VALLEY,13
WATSONVILLE,13
WEST COVINA,13
YORBA LINDA,13
ARTESIA,12
CHICO,12
DOWNEY,12
LANCASTER,12
MONTEBELLO,12
MURRIETA,12
SOUTH GATE,12
VISTA,12
CLAREMONT,11
EL CAJON,11
FAIRFIELD,11
LAGUNA NIGUEL,11
LAKEWOOD,11
LOMITA,11
MODESTO,11
SAN DIMAS,11
SEASIDE,11
SYLMAR,11
AZUSA,10
EL CENTRO,10
MONTCLAIR,10
CORTE MADERA,9
DUARTE,9
ENCINITAS,9
HACIENDA HEIGHTS,9
LAGUNA HILLS,9
MALIBU,9
SARATOGA,9
VICTORVILLE,9
VISALIA,9
WEST SACRAMENTO,9
BALDWIN PARK,8
GLENDORA,8
LA PUENTE,8
LA VERNE,8
MOUNTAN VIEW,8
PITTSBURG,8
SAN CLEMENTE,8
SCOTTS VALLEY,8
SOUTH EL MONTE,8
STUDIO CITY,8
UPLAND,8
WESTMINSTER,8
YUBA CITY,8
ALBANY,7
ANZA,7
ARCATA,7
BRENTWOOD,7
EAST PALO ALTO,7
INDIO,7
LA HABRA,7
LA MESA,7
LOS BANOS,7
LYNWOOD,7
NEWBURY PARK,7
OJAI,7
SALINAS,7
SANTA CLARITA,7
TURLOCK,7
VALLEJO,7
WEST HILLS,7
BANNING,6
CITY OF COMMERCE,6
DOS PALOS,6
ELK GROVE,6
GRANADA HILLS,6
HARBOR CITY,6
HAWAIIAN GARDENS,6
HERMOSA BEACH,6
LOMA LINDA,6
MADERA,6
NATIONAL CITY,6
PLEASANT HILL,6
RANCHO PALOS VERDES,6
BELL,5
BELL GARDENS,5
BELLFLOWER,5
BENICIA,5
BRAWLEY,5
DANVILLE,5
"FREMONT,",5
LODI,5
MARYSVILLE,5
MOORPARK,5
ORANGEVALE,5
PACOIMA,5
PALMDALE,5
PICO RIVERA,5
ROHNERT PARK,5
ROLLING HILLS ESTATES,5
SAN FERNANDO,5
SANTA  CLARA,5
SIGNAL HILL,5
SOUTH PASADENA,5
ST. HELENA,5
WINNETKA,5
WOODSIDE,5
ANAHIEM,4
ANTIOCH,4
ARLETA,4
CARMICHAEL,4
CENTURY CITY,4
HILMAR,4
KING CITY,4
LAKE ELSINORE,4
LAKEPORT,4
LARKSPUR,4
LOMPOC,4
MOJAVE,4
MONTROSE,4
NEVADA CITY,4
PANORAMA CITY,4
RANCHO MIRAGE,4
REDDING,4
SAN MARINO,4
SANTA YNEZ,4
TEMPLE CITY,4
TWENTYNINE PALMS,4
WOODLAND,4
ATWATER,3
BARSTOW,3
BORON,3
CALIPATRIA,3
CITRUS HEIGHTS,3
CLOVIS,3
EMPIRE,3
HANFORD,3
HEMET,3
LA,3
LA CRESCENTA,3
LAFAYETTE,3
LAWNDALE,3
MARTINEZ,3
MENIFEE,3
MIRA LOMA,3
MORENO VALLEY,3
ORINDA,3
PALM SPRINGS,3
PASO ROBLES,3
PERRIS,3
RANCHO SANTA FE,3
RESEDA,3
RIPON,3
ROCKLIN,3
SAN FRANCSICO,3
SOLANA BEACH,3
STANTON,3
WILMINGTON,3
ALVISO,2
ANGWIN,2
APPLE VALLEY,2
AVALON,2
BEAUMONT,2
BISHOP,2
BUELLTON,2
CA,2
CALEXICO,2
CAPITOLA,2
CARMEL,2
CARPINTERIA,2
CATHEDRAL CITY,2
CERES,2
COLTON,2
COTO DE CAZA,2
CROCKETT,2
DEL MAR,2
DESERT HOT SPRINGS,2
DIXON,2
EL CERRITO,2
FIREBAUGH,2
GONZALES,2
GREENBRAE,2
GUADALUPE,2
HALF MOON BAY,2
HESPERIA,2
JAMUL,2
JOSHUA TREE,2
JURUPA VALLEY,2
KENWOOD,2
LA CANADA,2
LA QUINTA,2
LAGUNA WOODS,2
LEMOORE,2
LOS ALAMITOS,2
LOS ALTOS HILLS,2
MANTECA,2
MAYWOOD,2
MOUNTAINVIEW,2
MURIETTA,2
NIPOMO,2
NORCO,2
OAK PARK,2
"OAKLAND,",2
PACIFIC PALISADES,2
SAN ANSELMO,2
"SAN JOSE,",2
SAN JUAN BAUTISTA,2
SANTA FE SPRING,2
SEAL BEACH,2
SEBASTOPOL,2
SHIMENTO,2
SONORA,2
STEVENSON RANCH,2
TECATE,2
TEHACHAPI,2
THOUSAND PALMS,2
TIBURON,2
TUJUNGA,2
VALLEY CENTER,2
VALLEY VILLAGE,2
WASCO,2
WESTCHESTER,2
WINDSOR,2
YERMO,2
YUCCA VALLEY,2
AGOURA,1
AHANEIM,1
ALAMO,1
ALTA LOMA,1
ALTADENA,1
AMERICAN CANYON,1
ANAHEIM HILLS,1
ANDERSON,1
APTOS,1
"ARCADIA,",1
ARELTA,1
ATASCADERO,1
BAKERSFEILD,1
BLUE JAY,1
BLYTHE,1
BODEGA BAY,1
BRSIBANE,1
BURGLINGAME,1
BUTTONWILLOW,1
CALIFORNIA,1
CALIMESA,1
CAMERON PARK,1
CARMEL-BY-THE-SEA,1
CASTROVILLE,1
CHATWORTH,1
CHUALAR,1
COACHELLA,1
CORNING,1
CORONA DEL MAR,1
COST MESA,1
DELANO,1
DIAMOND SPRINGS,1
DOWNY,1
DUCOR,1
EL MONTEL,1
ESCALON,1
ETIWANDA,1
EUREKA,1
FAIRFAX,1
FREEMONT,1
FRENCH CAMP,1
GARDEN GORVE,1
GILROY,1
"GOLETA, CALIFORNIA 93117",1
GOSHEN,1
GRANITE BAY,1
GRASS VALLEY,1
GROVER BEACH,1
HEALDSBURG,1
HILLSBOROUGH,1
HOLLISTER,1
IMPERIAL,1
INDUSTRY,1
INGELWOOD,1
JAMESTOWN,1
"LA CANADA, FLINTRIDGE",1
LAKE BALBOA,1
LAKE ISABELLA,1
LAKE VIEW TERRACE,1
LAMIRADA,1
LAYTONVILLE,1
LINCOLN,1
LOLETA,1
LOS A,1
LOS ALAMOS,1
"LOS ANGELES,",1
LOS ANGLELES,1
LOS ANGLES,1
MAGALIA,1
MAMMOTH LAKES,1
MARINA,1
MARIPOSA,1
MECCA,1
MEONTEBELLO,1
MILITIAS,1
MORAGA,1
N HOLLYWOOD,1
NEWHALL,1
NORDEN,1
NORTH EDWARDS,1
NORTH HILLS,1
OAKDALE,1
OAKLEY,1
ORANGE COVE,1
ORLAND,1
PACIFICA,1
PALOS VERDES PENINSULA,1
PARADISE,1
PARLIER,1
"PASADENA, CA",1
PLAINFIELD,1
PLANO,1
PLAO ALTO,1
PLAYA DEL REY,1
POINT RICHMOND,1
PORT HUENEME,1
PORTER RANCH,1
PORTOLA VALLEY,1
QUINCY,1
RANCHO CONDOVA,1
RANCHO SANTA MARG.,1
REEDLEY,1
RIDGECREST,1
ROWLAND  HEIGHTS,1
ROWLAND HEIGHT,1
RUNNING SPRINGS,1
SAINT HELENA,1
SAN,1
"SAN CLEMENTE,",1
SAN FRANCICSO,1
SAN JACINTO,1
SAN LORENZO,1
SAN MARTIN,1
SAN PADRO,1
SAN YSIDRO,1
SANATA CLARA,1
SAND CITY,1
SANGER,1
SANJOSE,1
SHAFTER,1
SHERMAN OASK,1
SIERRA MADRE,1
SILVERADO,1
SOLVANG,1
SOMIS,1
SONOMA,1
SUNLAND,1
"SUNNYVALE,",1
TERRA BELLA,1
TOLUCA LAKE,1
TOPANGA,1
TRABUCO CANYON,1
TRUCKEE,1
UKIAH,1
VALENICA,1
VENCIE,1
W HOLLYWOOD,1
"WALNUT CREEK,",1
WALTHAM,1
WESTMORLAND,1
WESTWOOD,1
WILDOMAR,1
WILLIAMS,1
WILLOWS,1
YOUNTVILLE,1
YUCAIPA,1
